# field-only static bump width — what narrows it (Δ=0.1 κ=2.0 g0=0.1, B=0); HD ref 90.0 deg
lever,value,fwhm_deg,peak_rate,surround,zmax,valid_bump
a2,-0.1,195.46875,0.35949536559635614,0.02923428333084131,0.8823922119775252,true
a2,0.0,198.28125,0.35763946198660007,0.02914551953031789,0.8829729635385717,true
a2,0.1,203.90625,0.353663467537856,0.02897698149230764,0.8840827919710984,true
a2,0.2,220.78125,0.34180855330894155,0.02856470559281163,0.8867999431038235,true
aE,0.3,198.28125,0.35763946198660007,0.02914551953031789,0.8829729635385717,true
aE,0.35,195.46875,0.38146710235388026,0.025162762778094764,0.9060419893868054,true
aE,0.4,192.65625,0.4018954736843449,0.02276909953199105,0.9199875507099706,true
eta,-0.4,198.28125,0.35763946198660007,0.02914551953031789,0.8829729635385717,true
eta,-0.45,192.65625,0.3387008010686885,0.027244480233634873,0.8932784271093525,true
eta,-0.5,184.21875,0.31470037402422946,0.02597450236892239,0.899975479591212,true
eta,-0.55,172.96875,0.2788012957415934,0.025216806782261843,0.9034881035943236,true
eta,-0.6,203.90625,0.03219686157201302,0.03219686157201187,0.857150963744459,false
