B,Omega_cond,kF_cond,kF_fixedbeta,sF_fwd,sF_bwd
0.0,0.0,NaN,NaN,8.881784197001253e-17,1.7865408619144318e-9
0.005,0.018316456463684398,1.0001394528845413,0.9370337977684315,0.018319010746372835,0.018318991309253692
0.01,0.036632912927368796,1.0001804070385636,0.9370721678440916,0.03663952176270398,0.03663953475949325
0.015,0.05494936939105319,1.0002527827673175,0.9371399768919048,0.05496325964471021,0.054963032640457474
0.02,0.07326582585473759,1.0003439639203597,0.9372254048008567,0.07329102665542699,0.07328906535014308
0.025,0.09158228231842198,1.0001450350105048,0.9370390276797962,0.09159556495570008,0.09159551333604203
0.03,0.10989873878210638,0.9996592937796385,0.936583935193465,0.10986129559819342,0.10986212741405237
0.035,0.12821519524579078,1.0027389791836143,0.939469302130742,0.12856637399659204,0.12856560874403
0.04,0.14653165170947519,0.9999317134285589,0.9368391660190049,0.14652164556537234,0.14651295808277923
0.045,0.16484810817315956,1.0052147430225995,0.9417888530550967,0.16570774869504426,0.1656947466790023
0.05,0.18316456463684397,1.0240478429470348,0.9594336435841063,0.18756927732069278,0.1876020571648192
0.055,0.20148102110052837,0.9849185943443953,0.9227733275489693,0.19844240408940586,0.19835162063099815
0.06,0.21979747756421275,1.035318703935882,0.9699933486792706,0.22756043960015684,0.2275845175420808
0.065,0.23811393402789718,0.9906206055640323,0.9281155597873285,0.23588056951994954,0.2361040553126431
0.07,0.25643039049158156,0.9532102365276277,0.8930656674218209,0.2444320731733524,0.27847312286148695
0.075,0.27474684695526597,1.0440113208989636,0.9781374888408958,0.28683881860259264,0.2868388761256714
0.08,0.29306330341895037,1.0013343848870238,0.938153333318331,0.2934543626619739,0.29497434540486767
0.085,0.3113797598826348,0.9628368521376112,0.9020848738521478,0.2998079078247613,0.3656393586788457
0.09,0.3296962163463191,0.9291769192361932,0.8705487768925896,0.30634611458850225,0.37366445844459883
0.095,0.34801267281000353,0.9034989421120113,0.8464909993953742,0.31442908172541173,0.39961602359460996
0.1,0.36632912927368794,1.0548276666656708,0.988271357195476,0.3864141006634311,0.8584673346216597
0.105,0.38464558573737234,1.0194853862168722,0.955159063529607,0.3921405535320801,0.8841157663580134
0.11,0.40296204220105675,0.9862543157194226,0.9240247691046368,0.3974230531919043,0.9056968058060711
0.115,0.42127849866474115,0.9560169769470761,0.8956953113449765,0.4027493967462687,0.925329041323494
0.12,0.4395949551284255,0.9315369190426606,0.8727598681309253,0.4094989301270301,0.9437345552268315
0.125,0.4579114115921099,0.9001967220732046,0.8433971390590923,0.4122103517151313,0.9612640929052313
0.13,0.47622786805579437,0.9043965725320277,0.8473319921579681,0.43069885161389515,0.9781186916776133
0.135,0.4945443245194788,0.8835680413242463,0.8278176757861101,0.43696356016369825,0.9944255184949969
0.14,0.5128607809831631,1.1410952659524356,1.0690957421858902,0.5852230092725563,1.0102704966130909
0.145,0.5311772374468475,1.1157438327758038,1.0453439047397635,0.5926577267922088,1.0257145036046103
0.15,0.5494936939105319,1.0903453572104633,1.021547993131758,0.599137897971776,1.0408022542104485
0.155,0.5678101503742163,1.0663602918662167,0.9990763100035472,0.6054901976776498,1.0555675433210745
0.16,0.5861266068379007,1.0436308795875031,0.9777810521801104,0.611699826243877,1.070036520991816
0.165,0.6044430633015851,1.0220615241257305,0.9575726552355941,0.6177779985252435,1.084229832263767
0.17,0.6227595197652696,1.0015612198146582,0.938365855675183,0.6237317842672941,1.098164067183621
0.175,0.6410759762289538,0.98204307846508,0.9200792476812398,0.6295642252258883,1.1118527733349302
0.18,0.6593924326926383,0.9634201075738074,0.9026313277040298,0.6352719284380961,1.125307180777968
0.185,0.6777088891563227,0.945617001920861,0.8859515420462003,0.6408530479391189,1.1385367320928037
0.19,0.6960253456200071,0.928671402608736,0.8700751567750198,0.6463788339681622,1.1515494768461538
0.195,0.7143418020836915,0.9299289057522406,0.8712533154236617,0.6642870903447708,1.1643523695889826
0.2,0.7326582585473759,1.6064126544756743,1.5050530664151085,1.176951497936615,1.1769514978450695
