Omega,B,kF_fwd,kF_bwd
0.0,0.0,NaN,NaN
0.019549999999999998,0.005,0.9997138431195607,0.9997152718838992
0.039099999999999996,0.01,0.9997475630758462,0.9997496246998306
0.058649999999999994,0.015,0.9997989859322735,0.9997891188687767
0.07819999999999999,0.02,0.9997154371892187,0.999707756191307
0.09775,0.025,0.9992154446237497,0.9992232895485083
0.11729999999999999,0.03,0.9982787815451115,0.9983344970817482
0.13685,0.035,1.0018592979467467,1.0024120857142915
0.15639999999999998,0.04,1.0146481056544896,1.0159080826964866
0.17595,0.045,0.9791423025580627,0.9795721759604409
0.1955,0.05,0.9958964831598672,0.9963951503644259
0.21505,0.055,1.0491054316895287,1.049252064407349
0.23459999999999998,0.06,0.9965118741215353,0.9998432157755583
0.25415,0.065,0.9508574932633644,1.0974220004172168
0.2737,0.07,1.0487441979864234,1.0481676014245036
0.29324999999999996,0.075,1.0010351900867558,1.221084821121594
0.31279999999999997,0.08,0.958859675682079,1.1790036133600046
0.33235,0.085,0.9216319809841992,1.1326648807701143
0.3519,0.09,0.891663500938175,1.0969279232400955
0.37145,0.095,1.0494888175034722,2.301512532444927
0.391,0.1,1.0131501209295632,2.264516367619047
0.41054999999999997,0.105,0.9847169711636361,2.217625572246421
0.4301,0.11,0.959952189739433,2.1693280292039594
0.44965,0.115,0.9366024058215429,2.1219431905828516
0.46919999999999995,0.12,0.9180888775361705,2.07631306403776
0.48874999999999996,0.125,1.1930323055965486,2.0327402766594287
0.5083,0.13,1.1629497753804061,1.9912940419966838
0.52785,0.135,1.134274465044864,1.95193479610795
0.5474,0.14,1.1073063394441864,1.9145717858428963
0.56695,0.145,1.0818977591333145,1.8790917723545775
0.5864999999999999,0.15,1.0579087000683618,1.845373969708847
0.60605,0.155,1.0352325271476899,1.8132979521791868
0.6255999999999999,0.16,1.0137569230281689,1.7827477928419446
0.64515,0.165,0.9933755914567105,1.7536141164946608
0.6647,0.17,0.9740554473686831,1.7257949770442662
0.6842499999999999,0.175,0.9562939340431418,1.6991960693377453
0.7038,0.18,0.946591782637899,1.673730568717212
0.7233499999999999,0.185,1.6493187700846617,1.6493187699819984
0.7429,0.19,1.6258876272460148,1.6258876272459444
0.76245,0.195,1.6033702547445305,1.6033702547445305
0.782,0.2,1.5817054237848054,1.5817054237847785
